,Autore,Stelle,Data,Titolo,Recensione,Lingua,Recensione_tradotta
138,Fhoebe,3,2023-09-06,Cose importanti:connessione e dati,"È carino,elegante,ma si disconnette spesso e volentieri,la ricerca del cellulare è pressoché nulla,visto che lo fa solamente vibrare,il resto funziona bene,si può cambiare lo schermo,ci sono tanti motivi carini..Alexa funziona e anche i dati forniti da un utilizzo continuo",it,"È carino,elegante,ma si disconnette spesso e volentieri,la ricerca del cellulare è pressoché nulla,visto che lo fa solamente vibrare,il resto funziona bene,si può cambiare lo schermo,ci sono tanti motivi carini..Alexa funziona e anche i dati forniti da un utilizzo continuo"
139,Valeria,3,2023-08-23,Bluetooth,Articolo usato ancora da poco tempo. Una grande pecca è che il bluetooth si disconnette di continuo.,it,Articolo usato ancora da poco tempo. Una grande pecca è che il bluetooth si disconnette di continuo.
140,Marti,3,2023-08-20,Bene ma non benissimo,"Acquistato questo orologio per mio padre, si buon prodotto ma resta comunque un prodotto non di prima qualità.",it,"Acquistato questo orologio per mio padre, si buon prodotto ma resta comunque un prodotto non di prima qualità."
141,Cliente Amazon,3,2023-08-07,Bisogna sempre controllare il programma che nn si blocchi,Purtroppo qualche volta si blocca e non si sente la chiamata e neanche i messaggi.,it,Purtroppo qualche volta si blocca e non si sente la chiamata e neanche i messaggi.
142,Gab,3,2023-07-22,Non male,Lo uso da 8 giorni e devo dire che sulla durata della batteria non ci si può lamentare ma il prodotto in sé non è niente di eccezionale.,it,Lo uso da 8 giorni e devo dire che sulla durata della batteria non ci si può lamentare ma il prodotto in sé non è niente di eccezionale.
143,Guido,3,2022-12-27,"Buon smartwatch, peccato che Alexa non riproduce musica","Tutto sommato sembra un buon smartwatch, peccato solo che tra le caratteristiche compaia Alexa abbinata alla riproduzione musicale e una volta installata Alexa risponda che il device non è abilitato alla riproduzione musicale...Il resto funziona correttamente, l'app è facile ed intuitiva; un difetto è che ogni tanto perde la connessione.",it,"Tutto sommato sembra un buon smartwatch, peccato solo che tra le caratteristiche compaia Alexa abbinata alla riproduzione musicale e una volta installata Alexa risponda che il device non è abilitato alla riproduzione musicale...Il resto funziona correttamente, l'app è facile ed intuitiva; un difetto è che ogni tanto perde la connessione."
144,patrice batman,3,2023-08-13,"Pratique, mais très compliqué à paramétrer notamment pour recevoir les messages.",Le produit est beau et bien fini. Cependant il a fallu de multiples installations et des installations pour configurer la réception des messages.La notice est très incomplète à ce sujet.A force de tester nous avons finit par y arriver et comprendre qu'il fallait autoriser les bandeaux sur l'écran de verrouillage pour recevoir les notifications de message et whatsapp... Une vraie galère.Sinon la montre quand elle fonctionne normalement est très bien.,fr,"Il prodotto è bello e ben rifinito. Tuttavia, sono state necessarie numerose installazioni e installazioni per configurare la ricezione dei messaggi. Le istruzioni sono molto incomplete su questo argomento. A forza di provare siamo arrivati ​​a capire che era necessario autorizzare i banner sullo schermo di blocco per ricevere messaggi e notifiche whatsapp... Una vera seccatura, per il resto l'orologio quando funziona normalmente è molto buono."
145,Josephine,3,2023-09-15,The watch answer call is not working.,"Hi,The answer call on the watch is not working.",en,"Ciao, la risposta alla chiamata sull'orologio non funziona."
146,Amazon Customer,3,2023-09-01,Battery life not as good,Battery does not last for 7 days.,en,La batteria non dura 7 giorni.
147,Muhamet cizmja,3,2023-08-16,Battery run out quick,It’s nice phone easy to install but I have to charge phone every night,en,È un bel telefono facile da installare ma devo caricare il telefono ogni notte
148,rick owen,3,2023-08-15,No instructions included,Unable to detect Afib.  Also no instructions included,en,Impossibile rilevare la fibrillazione atriale. Inoltre non sono incluse le istruzioni
149,Margaret Chalmers,3,2023-07-22,Watch,"Kept losing connection to phone also strap gave me a rash ,had to send back for refund",en,"Continuavo a perdere la connessione al telefono e anche il cinturino mi ha dato un'eruzione cutanea, ho dovuto rispedirlo per il rimborso"
150,Joyeuse munezero,3,2023-09-18,Ça peut aller,,,
151,Phoenix,3,2023-10-28,Easy to use,Used for work so I didn't have to carry my phone around.  It was useful. I thought I could return messages on it though but that's okay that I can't. At least I can answer the phone if I want through the watch. And found out I'm bradycardic,en,"Usato per lavoro quindi non ho dovuto portarmi dietro il telefono. È stato utile. Pensavo di poter restituire messaggi al riguardo, ma va bene che non posso. Almeno posso rispondere al telefono se voglio tramite l'orologio. E ho scoperto di essere bradicardico"
152,Heather ,3,2023-10-14,Not working correctly,"After 4 months it stopped recording distance when walking once in awhile,  after 6 months it doesn't record the distance at all now. Tried restarting and nothing.  Bought the device protection but they said I had to contact the seller.  Finding it very hard to get anywhere and it wasn't on sale or cheap when I bought it, very disappointed",en,"Dopo 4 mesi ha smesso di registrare la distanza camminando di tanto in tanto, dopo 6 mesi ora non registra più la distanza. Ho provato a riavviare e niente. Ho acquistato la protezione del dispositivo ma mi hanno detto che dovevo contattare il venditore. Trovando molto difficile arrivare ovunque e non era in offerta o economico quando l'ho comprato, sono rimasto molto deluso"
153,JiDé,3,2023-03-28,Valeurs fantaisistes pour certaines données,"Au bout de quelques semaines, la charge ne tient que 3 jours. Se déconnecte régulièrement, il faut la supprimer et la rajouter :(La fréquence cardiaque semble ok, par contre le nombre de pas est largement supérieur à la réalité, même si tout est bien paramétré.Impossible de lire les mails et les SMS en entier.Bon pour le prix, ça fait le job d'une montre, ça donne l'heure !!!",fr,"Dopo alcune settimane, la carica dura solo 3 giorni. Si disconnette regolarmente, bisogna cancellarlo e aggiungerlo di nuovo: (La frequenza cardiaca sembra ok, tuttavia il numero di passi è molto più alto della realtà, anche se tutto è configurato correttamente. Impossibile leggere email e SMS per intero. Buono per il prezzo, fa il lavoro di un orologio, dice l'ora!!!"
154,Wings,3,2023-08-16,Good fitness watch,It's a decent fitness and sleep monitoring watch My only big complaint is that it insists on using its internal speaker and microphone for calls when it is connected via Bluetooth.  You need to have it connected so it synchronizes but I don't want to talk into my wrist. I've tried changing settings and permissions to no avail. It is a pain to disconnect the Bluetooth every time a call comes in. I've asked customer service and I don't think they understand the problem.  If anyone has a solution I'd be happy to add a couple stars. As it is I stopped using it over this problem.,en,"È un discreto orologio per il fitness e il monitoraggio del sonno. La mia unica grande lamentela è che insiste nell'usare l'altoparlante interno e il microfono per le chiamate quando è connesso tramite Bluetooth. Devi averlo collegato in modo che si sincronizzi, ma non voglio parlare al mio polso. Ho provato a modificare impostazioni e permessi senza alcun risultato. È una seccatura disconnettere il Bluetooth ogni volta che arriva una chiamata. Ho chiesto al servizio clienti e non credo che capiscano il problema. Se qualcuno ha una soluzione sarei felice di aggiungere un paio di stelle. Così com'è ho smesso di usarlo per questo problema."
155,Jenny,3,2023-03-18,Good Smart Watch,"This is great for texts/calls and exercise (steps) etc.  It’s disconnected from the app a few times which isn’t great if you’re depending on the alarm but it’s never disconnected through the night so far.  It doesn’t give notifications from all of your apps - like Sky Sports - so you won’t get score updates or anything, but it does connect with your calendar so you do get reminders about stuff.  I’m generally happy with the purchase as it does everything I need it to do.",en,"Questo è ottimo per messaggi/chiamate, esercizi (passi), ecc. Viene disconnesso dall'app alcune volte, il che non è eccezionale se dipendi dall'allarme, ma finora non si è mai disconnesso durante la notte. Non fornisce notifiche da tutte le tue app, come Sky Sports, quindi non riceverai aggiornamenti sui punteggi o altro, ma si connette al tuo calendario in modo da ricevere promemoria su cose. In generale sono soddisfatto dell'acquisto poiché fa tutto ciò di cui ho bisogno."
156,Jörg ,3,2023-08-27,Gebraucht ????,Die gelieferte Uhr zeigt an der Verpackung und am Armband Gebrauchsspuren …was auf ein Retour- Artikel hinweist .Bestellt und bezahlt habe ich Neuware !Werde sie jetzt eine Woche testen und mich dann entscheiden ob sie wieder zurück geht !,de,L'orologio che mi è stato consegnato presenta segni di usura sulla confezione e sul bracciale... il che indica che si tratta di un reso. Ho ordinato e pagato merce nuova! Adesso lo proverò per una settimana e poi deciderò se restituirlo !
157,Hans Rittner,3,2023-08-22,Eigentlich schöne Uhr,"Die Uhr selber gefällt mir sehr gut,macht alles was sie soll.Das Armband geht aber garnicht habe noch nie auf Plastik Armbänder reagiert ,ich kann leider die Uhr nicht mehr benutzen weil es wie irre juckt,ich verstehe es auch nicht irgendwas muss da drinnen sein.",de,"L'orologio in sé mi piace molto, fa tutto quello che deve fare. Il braccialetto non funziona affatto. Non ho mai reagito ai braccialetti di plastica. Purtroppo non posso più usare l'orologio perché prude da morire. Non lo capisco neanche io. Qualcosa deve esserci dentro."
158,Sonja ,3,2023-09-25,Schwacher Akku,"Der Tracker ist okay, leider ist der Akku schwach hält nur 3-4 Tage",de,"Il localizzatore va bene, purtroppo la batteria è debole e dura solo 3-4 giorni"
159,Heinz H,3,2023-09-06,Smartwatch,"Zur Zeit funktioniert dieses Gerät. Lieferung hat sich verzögert, Geld wurde sofort abgebucht, Grund warum ich lieber ins Geschäft einkaufen. Mehr persönliche Betreuung.",de,"Questo dispositivo è attualmente funzionante. La consegna è stata ritardata, il denaro è stato addebitato immediatamente, motivo per cui preferisco fare acquisti in negozio. Più supporto personale."
160,Tanja Seibert,3,2023-08-22,Technisch gut Armband leider nicht,"Hab die Uhr im November 22 gekauft und bin Technisch mit ihr sehr zufrieden :)Was mir allerdings nicht gefällt ist das Armband, was mittlerweile sehr abgenutzt aussieht und sehr spröde geworden ist.",de,"Ho acquistato l'orologio il 22 novembre e tecnicamente ne sono molto soddisfatto :) Quello che però non mi piace è il bracciale, che ora appare molto usurato ed è diventato molto fragile."
161,Muhammad Mushtaq,3,2023-10-07,Some feature needed,It’s nice,en,È carino
162,Mike Schulze,3,2023-09-12,Geht für das Geld,Verbindet sich nur manchmal mit dem Handy eher selten,de,Si collega solo occasionalmente al cellulare piuttosto raramente
163,Jose,3,2023-08-15,Se desconecta con frecuencia,"Cumple su función, pero se desconecta con bastante frecuencia.",es,Fa il suo lavoro ma si disconnette abbastanza spesso.
164,Jeff O.,3,2023-08-18,Disappointing & Frustrating Experience.,"This watch does not sync properly with the VeryFit application. It requires several attempts to get the watch synchronized with VeryFit iPhone application.  Additionally, Some of the applications simply  do not work.  It is extremely Frustrating & Disappointing that this watch does not function very well. I would not buy this brand smart watch again.",en,"Questo orologio non si sincronizza correttamente con l'applicazione VeryFit. Sono necessari diversi tentativi per sincronizzare l'orologio con l'applicazione VeryFit per iPhone. Inoltre, alcune applicazioni semplicemente non funzionano. È estremamente frustrante e deludente che questo orologio non funzioni molto bene. Non comprerei più questo orologio intelligente di marca."
165,Philip Hitchen,3,2022-12-20,"Fair for the price, not brilliant.","It did take a few days to get the many functions the watch can do, working to my preferences. I had conversations with the seller, who responded quickly, to get English, not Russian, instructions. The watch regularly does its own thing, comes on when I don't need it, then when I want to know the time, raising my wrist to my face, it stays off, or comes one for a second. I must look strange when out and about, furiously shacking my hand in front of me. 😁. But I've stuck with the watch as I get used to its sweet spot for operating the many functions. The battery does last for 3 - 4 days, which is a huge plus. The strap feels a little flimsy, I'll re edit my review, if it goes within a month or two. Overall, for the price, it should be way better.Edit: I went to a rehabilitation gym yesterday, I was monitored and reached 100 heart beats / min. The watched showed me at 50 bpm. So also slightly inaccurate.Edit 2, now I'm resting, my heart rate monitor is 55bpm, the watch says 69 bpm.",en,"Ci sono voluti alcuni giorni per ottenere le numerose funzioni che l'orologio può svolgere, in base alle mie preferenze. Ho avuto conversazioni con il venditore, che ha risposto rapidamente, per ottenere istruzioni in inglese, non in russo. L'orologio regolarmente fa il suo dovere, si accende quando non mi serve, poi quando voglio sapere l'ora, avvicinando il polso al viso, resta spento, oppure arriva l'una per un secondo. Devo avere un aspetto strano quando sono in giro, stringendo furiosamente la mano davanti a me. 😁. Ma sono rimasto fedele all'orologio mentre mi abituo al suo punto debole per l'utilizzo delle numerose funzioni. La batteria dura 3-4 giorni, il che è un vantaggio enorme. Il cinturino sembra un po' fragile, modificherò la mia recensione, se andrà entro un mese o due. Nel complesso, visto il prezzo, dovrebbe essere decisamente migliore. Modifica: ieri sono andato in una palestra di riabilitazione, sono stato monitorato e ho raggiunto 100 battiti cardiaci/min. Il watch mi ha mostrato a 50 bpm. Quindi anche leggermente impreciso. Modifica 2, ora sto riposando, il mio cardiofrequenzimetro è 55 bpm, l'orologio dice 69 bpm."
166,Karl-Heinz Witrin,3,2023-07-04,Schwer zu installieren.,"Das Teil liegt bei mir rum, weil ich es nicht installiert bekomme. Die Anleitung kann man nicht mal mit der Lupe lesen. Ein unnützer Kauf.",de,Il componente è in giro con me perché non riesco a installarlo. Non puoi leggere le istruzioni nemmeno con una lente d'ingrandimento. Un acquisto inutile.
167,Breann,3,2023-03-20,App is trash,"The app is complete trash, when I record my weight it automatically corrects to 399 but a 0.01 bmi. When I open the section that has my weight it's correct but on the homescreen it is incorrect. The weight management program says to eat over 8000 calories but the start of plan screen says to eat a bit more then 900. And to exercise for a little over 200. It also gets the day wrong, for example March 20th is a Monday but in the app it's Tuesday. The watch did go a little bonkers and went gray screen on me. Amazon will not send a replacement but will go straight to a refund. But I restarted the watch from the app and it worked. Other then the watch itself is alright for $45, I just needed something to use until I could buy a different watch.",en,"L'app è completamente spazzatura, quando registro il mio peso si corregge automaticamente a 399 ma a 0,01 bmi. Quando apro la sezione con il mio peso è corretto ma nella schermata iniziale non è corretto. Il programma di gestione del peso dice di mangiare più di 8000 calorie, ma la schermata di avvio del piano dice di mangiare un po' più di 900. E di fare esercizio per poco più di 200. Inoltre sbaglia il giorno, ad esempio il 20 marzo è un lunedì ma in l'app è martedì. L'orologio è andato un po' fuori di testa e mi è apparso lo schermo grigio. Amazon non invierà una sostituzione ma procederà direttamente al rimborso. Ma ho riavviato l'orologio dall'app e ha funzionato. A parte il fatto che l'orologio in sé va bene per $ 45, avevo solo bisogno di qualcosa da usare finché non avessi potuto acquistare un orologio diverso."
168,Winfried Burger,3,2023-07-11,Preis/Leistung,"Ist hier gegeben, tut was sie soll , nicht ganz einfach zu händeln, aber man bekommt es hin 👍",de,"È dato qui, fa quello che dovrebbe fare, non è così facile da gestire, ma puoi gestirlo 👍"
169,Suzanne,3,2023-08-13,Smart watch,Arm band is too flexible so hard to put on one handed.  No instruction book with it.Counts steps well if you wear it.  Not an attractive watch.,en,"La fascia da braccio è troppo flessibile, quindi difficile da indossare con una mano sola. Nessun libretto di istruzioni con esso. Conta bene i passi se lo indossi. Non è un orologio attraente."
170,Katrin Schlömann,3,2023-06-19,App verbindet sich oft nicht,Leider gibt es zunehmend Verbindungsprobleme mit der Very Fit App. Ich habe die Uhr bereits 5 Monate. Am Anfang war alles okay. Vielleicht sollte die App mal nachgebessert werden.,de,"Sfortunatamente, i problemi di connessione con l'app Very Fit sono sempre più frequenti. Ho l'orologio già da 5 mesi. All'inizio andava tutto bene. Forse l'app andrebbe migliorata."
171,Debbie,3,2023-08-09,Was great,"Loved it. Had it since June 2023, but the frame cracked where the band attached. Now I can not use it and no warranty. Wasn't my fault. Manufacturers defect.",en,"Lo amo. Ce l'avevo da giugno 2023, ma il telaio si è rotto nel punto in cui era attaccata la fascia. Ora non posso usarlo e nessuna garanzia. Non è stata colpa mia. Difetto del produttore."
172,Amazon Customer,3,2023-03-27,Montre,"J'en ai pour mon argent ! Bref, ça vaut pas cher. Vraiment dommage que ma Samsung Galaxy Fit 2 a doublé de prix !",fr,"Ho ottenuto quello per cui ho pagato! Insomma, non vale molto. Davvero un peccato che il mio Samsung Galaxy Fit 2 abbia raddoppiato il prezzo!"
173,Luis Giraldo Alvarez,3,2023-08-03,start failing in few days,"In a month the screen start failing, now is getting darker from the frame to the center, and it is advancing day by day.",en,"Nel giro di un mese lo schermo ha iniziato a cedere, ora sta diventando più scuro dalla cornice al centro e sta avanzando di giorno in giorno."
174,Simon Burke,3,2023-07-05,A decent watch for the price,"I purchased this watch as a backup for my iwatch. I only received it last week and began using it.i synced it with my iphone, however I am unable to access any information from my phone.I like the display information and the font size",en,"Ho acquistato questo orologio come backup per il mio iwatch. L'ho ricevuto solo la settimana scorsa e ho iniziato a usarlo. L'ho sincronizzato con il mio iPhone, tuttavia non riesco ad accedere a nessuna informazione dal mio telefono. Mi piacciono le informazioni sul display e la dimensione del carattere"
175,vaniza,3,2023-03-01,Light/brightness not working,"I bought the product a month ago , I don’t know what’s wrong with it but the light/ brightness of the watch is not working ,any idea ? Thank you",en,"Ho acquistato il prodotto un mese fa, non so cosa ci sia che non va ma la luce/luminosità dell'orologio non funziona, qualche idea? Grazie"
176,val,3,2023-02-16,couleur,la couleur ne correspond pas du tout,fr,il colore non corrisponde affatto
177,Scanmandan1,3,2023-07-03,Limited,Smart watches are great for step counting not so good for checking your blood pressure.,en,"Gli orologi intelligenti sono ottimi per contare i passi, non altrettanto utili per controllare la pressione sanguigna."
178,Raymond KOHL,3,2023-01-13,Livraison rapide,Pas précisé du tout,fr,Non specificato affatto
179,lou defrancesco,3,2023-06-23,won't hold a charge,Doesn't seem to hold a charge I have to charge every day is that normal.,en,"Sembra che non mantenga la carica. Devo ricaricarlo ogni giorno, è normale."
180,Amazon Customer,3,2023-02-28,Mixed feelings,"Like the detail on the screen, accuracy of steps is off approximately +30% and distance +50%, which leads my major concern.  After a month, I am unable to connect the device to the internet to verify setting.  The directions are in Chinese and the convert to English function is not working.  I'm still trying to work through the issues because I like the display and possible fix to the measurement problems.",en,"Come i dettagli sullo schermo, la precisione dei passi è inferiore di circa il +30% e la distanza del +50%, il che è la mia principale preoccupazione. Dopo un mese, non riesco a connettere il dispositivo a Internet per verificare le impostazioni. Le indicazioni sono in cinese e la funzione di conversione in inglese non funziona. Sto ancora cercando di risolvere i problemi perché mi piace il display e possibile risolvere i problemi di misurazione."
181,Devans,3,2023-02-23,Nice but not what I thought,"While I like the watch in general, the appearance and fit. If you want it to track your fitness and health like heart rate it probably will be fine. I purchased it to track my blood oxygen, especially at night. I just had an breathing episode and the watch showed 97% while the other blood oxygen meter which I know is correct showed 85%. I will be starting a return.",en,"Anche se mi piace l'orologio in generale, l'aspetto e la vestibilità. Se vuoi che monitori la tua forma fisica e la tua salute come la frequenza cardiaca, probabilmente andrà bene. L'ho acquistato per monitorare l'ossigeno nel sangue, soprattutto di notte. Ho appena avuto un episodio di respirazione e l'orologio ha mostrato il 97% mentre l'altro misuratore di ossigeno nel sangue, che so essere corretto, ha mostrato l'85%. Inizierò un reso."
182,Donald J McKinnon,3,2023-04-18,Limited monitoring,The ad seemed to indicate that it could monitor blood pressure and oxygen saturation.  It cannot do those things without additional devices.  Instructions are terrible.  It can measure pulse rate and can count your steps.  IT WORKS WELL AS A SIMPLE WATCH.,en,L'annuncio sembrava indicare che poteva monitorare la pressione sanguigna e la saturazione di ossigeno. Non può fare queste cose senza dispositivi aggiuntivi. Le istruzioni sono terribili. Può misurare la frequenza cardiaca e contare i passi. FUNZIONA BENE COME UN SEMPLICE OROLOGIO.
183,THO TRAN,3,2022-12-05,Smart Watch,heart rate sometime accurate sometime not.,en,frequenza cardiaca a volte precisa a volte no.
184,Craig Saeed,3,2023-03-26,Step count is drastically off,Step count on this watch is by no means accurate. It will make you work harder to meet step goals but in actuality you will be over achieving your goals. Great watch otherwise.,en,"Il conteggio dei passi su questo orologio non è affatto accurato. Ti farà lavorare di più per raggiungere gli obiettivi di passi, ma in realtà supererai i tuoi obiettivi. Ottimo orologio per il resto."
185,Diane,3,2023-05-14,Doesn’t always record accurately,The sleep/awake feature is really good BUT it is often not very accurate.,en,La funzione sonno/veglia è davvero buona MA spesso non è molto precisa.
186,Gerhard Weber,3,2023-01-04,NUR FÜR DEN EINFACHEN GEBRAUCH !  sehr umständlich zu bedienen.,"Akkulaufzeit ist ok, Bedienung sehr umständlich im Vergleich zu meiner bisherigen Huawei 2 .Ich überlege noch, diese Uhr zurückzugeben.",de,"La durata della batteria è ok, il funzionamento è molto complicato rispetto al mio precedente Huawei 2. Sto ancora pensando di restituire questo orologio."
187,Stacy,3,2023-02-27,Not that great,"Not the best.  Often loses sync with the phone and I never receive text notifications ever. No matter what settings I have made changes to, I never receive text message notifications for some reason. Very disappointed with the watch.",en,"Non il migliore. Perde spesso la sincronizzazione con il telefono e non ricevo mai notifiche di testo. Indipendentemente dalle impostazioni a cui ho apportato modifiche, per qualche motivo non ricevo mai notifiche via SMS. Molto deluso dall'orologio."
188,bryon jr,3,2023-04-01,Oh,It doesn't stay connected with the phone. Step are almost double from other stepping apps but it show less calories by a lot. It does tell time.,en,"Non rimane connesso al telefono. I passi sono quasi il doppio rispetto ad altre app per fare passi, ma mostrano molte meno calorie. Dice l'ora."
189,Teresa C. Scudder,3,2023-03-07,Freezes up and misses steps,"I love the flashlight and tie in to my phone and the price, but for counting steps, it's not good.  Freezes up and misses a lot of steps.",en,"Adoro la torcia, collegata al telefono e al prezzo, ma per contare i passi non va bene. Si blocca e perde molti passaggi."
190,Edith Manseder,3,2023-02-02,Kann ich mit Sim karte telefonieren,Hat die Uhr Sim oder eSIM,de,L'orologio ha una SIM o eSIM
191,Amazon Customer,3,2023-03-30,Lack of operational instructions.,There is a lack of operational instructions. Accuracy is questionable. I wish I would have researched watch and app before purchasing.,en,Mancano istruzioni operative. La precisione è discutibile. Vorrei aver effettuato ricerche sull'orologio e sull'app prima dell'acquisto.
192,Paula Griffin,3,2023-03-24,Only counted every 10 steps,Thus watch only countedevery 10 steps.  Not accurate at all.  I want all mobsters countes,en,Quindi guarda solo il conteggio ogni 10 passi. Non è affatto accurato. Voglio che tutti i mafiosi siano conteggiati
193,Kimberly D,3,2023-03-16,Leaves rashes,"After my boyfriend wore this watch he immediately developed a rash, has anyone else had this problem ?",en,"Dopo che il mio ragazzo ha indossato questo orologio ha subito avuto un'eruzione cutanea, qualcun altro ha avuto questo problema?"
194,John Pedersen,3,2023-03-07,One good,I got 2 one worked the other did not will not stay charged  more  than  a few hours.,en,"Ne ho ottenuti 2, uno ha funzionato, l'altro no, non rimarrà addebitato per più di poche ore."
195,"ros ferriols, juan antonio",3,2022-10-15,Wetter,Wetter anzeige wird nicht automatisch verwendet,de,La visualizzazione del meteo non viene utilizzata automaticamente
196,Miguel Campos Díaz,3,2022-12-21,Esperaba más de el,En el anuncio decía que media presión y solo mide la frecuencia cardiaca y la misma no es tan exacta,es,Nella pubblicità si dice che misura la pressione e misura solo la frequenza cardiaca e non è così preciso
197,joel,3,2023-01-04,Difficulty in paring. No blood pressure sensor.,Hard to pair. Good battery life. No blood pressure sensor.,en,Difficile da accoppiare. Buona durata della batteria. Nessun sensore di pressione sanguigna.
198,Sean Charmer,3,2023-05-24,Does the job of other Smart Watches but screen lag is noticable,"This is a non branded smart watch clearly modelled after actual brand named smart watches and has all the features you would expect such as heart rate monitoring, blood pressure/oxygen, mood, sleep etc as well as sports timers, calorie burning etc. The results were just slightly off compared to my branded Motorola 100 smart watch but not by very much. The strap is silicon based, comfortable to wear and instead of a strap holder it slide underneath itself when worn on the wrist. When exercising the strap traps sweat but it can be replaced with a standard watch strap if you prefer.Battery life is good, it is charged by a USB ""plate"" design requiring the watch to be laid on the plate to charge and sadly this cord this not very long. The watch screen is a good size but also suffers from lag, slow to respond to touch compared to other branded watches. The app you need is quite good in contrast, used to talk to the watch and record the results of the monitoring features, provide updates etc and is easy to install and use on your smartphone. The main party trick of this watch is the Alexa feature built into the app and watch, however this will require you naturally, to log into your Amazon account in order to use it, something that this being a non branded smart watch copy made me a little nervous to share my details so I quickly made a test account to try out the features. The Alexa features do work well if you are comfortable to share your details.Overall, this is an expensive non branded smart watch, it replicates what higher prices branded watches can do but the screen lag and overall cheap feel to the watch would make me look to a branded one for the same price such as G-TIDE. It will do the job though if you can accept the noticeable aspects to it.",en,"Si tratta di uno smartwatch senza marchio, chiaramente modellato sugli orologi smart di marca reale e ha tutte le funzionalità che ti aspetteresti come monitoraggio della frequenza cardiaca, pressione sanguigna/ossigeno, umore, sonno, ecc., nonché timer sportivi, consumo di calorie, ecc. erano leggermente fuori rispetto al mio smartwatch Motorola 100 di marca, ma non di molto. Il cinturino è a base di silicone, comodo da indossare e invece di un supporto per cinturino scorre sotto se stesso quando viene indossato al polso. Quando ti alleni, il cinturino trattiene il sudore ma, se preferisci, può essere sostituito con un cinturino standard. La durata della batteria è buona, viene caricata da un design a ""piastra"" USB che richiede che l'orologio sia appoggiato sulla piastra per caricarsi e purtroppo questo cavo questo non è molto lungo. Lo schermo dell'orologio è di buone dimensioni ma soffre anche di lag, lento nella risposta al tocco rispetto ad altri orologi di marca. L'app di cui hai bisogno invece è abbastanza buona, viene utilizzata per parlare con l'orologio e registrare i risultati delle funzionalità di monitoraggio, fornire aggiornamenti ecc. Ed è facile da installare e utilizzare sul tuo smartphone. Il trucco principale di questo orologio è la funzione Alexa integrata nell'app e nell'orologio, tuttavia ciò richiederà naturalmente che tu acceda al tuo account Amazon per usarlo, qualcosa che essendo una copia di orologio intelligente non di marca mi ha fatto un un po' nervoso nel condividere i miei dati, quindi ho creato rapidamente un account di prova per provare le funzionalità. Le funzionalità di Alexa funzionano bene se ti senti a tuo agio nel condividere i tuoi dettagli. Nel complesso, si tratta di un costoso orologio intelligente non di marca, replica ciò che possono fare gli orologi di marca a prezzi più alti, ma il ritardo dello schermo e la sensazione complessivamente economica dell'orologio mi farebbero sembrare a uno di marca allo stesso prezzo come G-TIDE. Tuttavia, farà il suo lavoro se riesci ad accettarne gli aspetti evidenti."
199,Smithy,3,2023-05-06,A decent smart watch but...,"This is the second smart watch that I have ordered recently, this one being pink I thought it would be perfect for the wife. The watch itself is nice and looks similar to the big brand smart watch. Battery life is also decent, screen is good but not as clear as the more premium brands but more than acceptable.The watch is easy to setup and you link it to the veryfit app which is simple to navigate around. It tracks everything you'd expect at this price point. It's generally comfortable to wear and notifications worked fine and it has stayed connected. The only thing I would say is that the strap seems over engineered, it's a little difficult to put on.Although this is a good watch, the price (£65 at time of review) seems pretty expensive for what it is. The first smart watch I ordered was less than half the price of this and it pretty much does everything this one does. Overall, a fine smart watch but nothing special at this price point.",en,"Questo è il secondo orologio intelligente che ho ordinato di recente, essendo rosa ho pensato che sarebbe stato perfetto per mia moglie. L'orologio in sé è carino e sembra simile allo smartwatch del grande marchio. Anche la durata della batteria è discreta, lo schermo è buono ma non così chiaro come quello dei marchi più premium ma più che accettabile. L'orologio è facile da configurare e lo colleghi all'app veryfit che è semplice da navigare. Tiene traccia di tutto ciò che ti aspetteresti a questo prezzo. Generalmente è comodo da indossare e le notifiche hanno funzionato bene ed è rimasto connesso. L'unica cosa che direi è che il cinturino sembra troppo ingegnerizzato, è un po' difficile da indossare. Sebbene sia un buon orologio, il prezzo (£65 al momento della recensione) sembra piuttosto alto per quello che è. Il primo orologio intelligente che ho ordinato costava meno della metà di questo e fa praticamente tutto questo. Nel complesso, un buon orologio intelligente ma niente di speciale a questo prezzo."
